id,nome,tipo,atividade_tipo,duplicatas
f9f18097-f8c6-403e-9927-2b63c1c8a67d,Diesel,DESPESA,RURAL,1
4b3057b7-b93a-4c16-977d-05ce3342c80f,Drench,DESPESA,RURAL,1
171d269d-fcee-4f91-b1c4-32f1ed2d54ed,EBULIDOR,DESPESA,RURAL,1
6266291f-f5ba-461c-bc9d-567979c15571,Energia Eletrica,DESPESA,RURAL,1
471139b1-eb97-4364-8de7-9a1f9fe4dc0e,Fertilizantes,DESPESA,RURAL,1
3297a694-4bdb-467e-9f64-8152b384387e,Flanaliv para garrincha - inflação dos posteriores,DESPESA,RURAL,1
17cf099f-33fe-45ad-b501-be3c05f15fda,Fluido de Freio Gurgel,DESPESA,RURAL,1
e55ef413-102d-467b-bfa5-0fb533a2ea82,Fos 80,DESPESA,RURAL,1
f9ec56cc-c9ee-449f-b3e9-685a75fbc79c,Gasolina para viagem ao Anta,DESPESA,RURAL,1
b52054ad-9678-4365-84d3-cf176e53725c,IMIZOL,DESPESA,RURAL,1
889964e3-c71c-4106-bd09-143833e18278,inoculante,DESPESA,RURAL,1
eddc7ef5-bc9b-4a87-ad36-d2c3d0b21eb8,Insumos,DESPESA,RURAL,1
930231ca-5dbd-47d2-8f25-7a98c627243a,Ivergem ivermectina,DESPESA,RURAL,1
eea7f46e-356f-4dce-8e8c-16e97b1b4adc,Junta da embragem da Bross,DESPESA,RURAL,1
1896e57f-768c-4d35-9789-9abc47c8cc46,Juros Nereu,DESPESA,RURAL,1
404c4ae4-9eb1-40c6-83e2-9d0b919bfd01,kit embreagem moto Bross,DESPESA,RURAL,1
0485208a-8f1c-4d0b-9559-16a3e1c31db9,Lactocina,DESPESA,RURAL,1
04fa3f84-8131-4b18-be00-c5e613d4792f,Liquidação do emprestimo 1 - planilha de...,DESPESA,RURAL,1
3088c93a-90a2-4495-9301-482428f205d0,lona silagem,DESPESA,RURAL,1
e1e18175-a149-4c9e-8377-4fb4ecd34791,"Longamectina 3,5% Bernes",DESPESA,RURAL,1
6f30549a-2a8e-4873-be49-537a31923962,Manutenção de free stall,DESPESA,RURAL,1
2f78ad2a-2cc0-4387-87b4-935eb3ca535d,Manutencao Maquinas,DESPESA,RURAL,1
0be75052-ac9b-4b37-a7b4-b1eb39a8d1e8,Mao de Obra,DESPESA,RURAL,1
3b1308d9-5a48-42c3-886a-513beb08e1e2,Mastifin VS,DESPESA,RURAL,1
907a6b82-89a8-4efb-b201-1f913238b6cf,Medicamentos,DESPESA,RURAL,1
c1283fb6-0e2b-4698-92f6-e8a37358abe5,Obrigação de Retro Terceirizada,DESPESA,RURAL,1
d3ed7d3f-2161-4472-b6c6-71499a02a3da,Oleio de ordenha,DESPESA,RURAL,1
093d8b5f-643b-4640-83ed-b7fc1e53453a,Oleo da moto Bross,DESPESA,RURAL,1
2f463a02-3d8a-4580-9300-b90f86c4a07a,Oleo de motor triciclo,DESPESA,RURAL,1
efd00938-cb61-45e4-bd85-1f36fa401107,Oleo de ordenha,DESPESA,RURAL,1
b88ffe3b-182d-4517-97e6-e69e8a633761,Outra Transação Financeira,DESPESA,RURAL,1
15e0e502-b18c-4d47-b5b2-ab2d16865f71,Pagamanto do 13º em 3 parcelas de R$ 750 pagas...,DESPESA,RURAL,1
d446c10e-3c20-4752-a5c6-cc4b1d194707,Pagamento consultoria veterinária,DESPESA,RURAL,1
dfef1865-eea0-4e2a-9585-f8ad7109a4e6,Pagamento da divida 07 - juros mais alto -...,DESPESA,RURAL,1
118e1283-607a-4546-87b7-1bfc6dd7f3d0,Pagamento da manutenção da bomba e motor irrigação,DESPESA,RURAL,1
3540d704-8ea5-4082-b570-06be2b59d955,Pagamento de boleto bancário,DESPESA,RURAL,1
16b59444-4f8d-4b1d-a3bc-855feafc015c,Pagamento de consultoria veterinaria,DESPESA,RURAL,1
6923143d-0a4b-4abf-9598-6d9636f9ef13,Pagamento de fev 26,DESPESA,RURAL,1
d6cbef0c-e720-4901-9156-42fe709bb430,Pagamento de oleo de motor Paulinho Pedra do Anta,DESPESA,RURAL,1
76d17f64-c476-4c8e-b065-4a42da5d842f,Pagamento de pulverização do capim amargos,DESPESA,RURAL,1
3bf664e8-032d-4e91-bbf6-c63bbc97854b,Pagamento do emprestimo 8,DESPESA,RURAL,1
66e4a5de-3025-4637-9be4-c1d0eacb2d73,pagamento do salario Fev 2026,DESPESA,RURAL,1
e598c4aa-8e60-4d13-bb80-29bf680e4be8,Pagamento mensal - emprestimo 6,DESPESA,RURAL,1
97b5f3a5-dfe4-417d-ae24-bd57889d3b5c,Pagamento parcela Empréstimo 3,DESPESA,RURAL,1
6f674e22-9845-4901-b287-000081c671c2,Pagamento serviços da Divida 2026 - Emprestimo 5,DESPESA,RURAL,1
ed022019-321a-4d28-8cdc-0a5ebcab9b1a,Parcela emprestimo 2,DESPESA,RURAL,1
746d3129-309d-4dc2-a91d-697d0ec1f572,Parcela Emprestimo 4,DESPESA,RURAL,1
c3f595ba-c729-4e78-b396-25fe570323a7,Peças e compressor do tanque de resfriamento,DESPESA,RURAL,1
717789f5-bfac-4c22-a59c-f3fa22b2f067,Plancencal 200 ml - ocitocina,DESPESA,RURAL,1
08644ea1-9ffd-42d9-a4d8-95ce615dbbce,prego 1 kg,DESPESA,RURAL,1
f087372b-770f-4436-a0fa-f1de6d0895ac,produtos de pulsador e demais da ordenha,DESPESA,RURAL,1
1dcc247b-4355-46eb-91be-612f568ba80b,Ração Lacmaster CCPR,DESPESA,RURAL,1
e5548f59-c9b4-47f8-86f9-6f9f83e033d7,Ração Peletizada,DESPESA,RURAL,1
22cebc7e-c193-4942-9004-abd49d0606e9,Ração Pelitizada Bezerras,DESPESA,RURAL,1
57ac3f60-a0e0-44c9-b6a0-d9fe0eac246a,Recarga de nitrogeneo,DESPESA,RURAL,1
3450c0ee-ffdb-4fd5-aed7-01c12caf44a7,S 100,DESPESA,RURAL,1
7fba3b74-5443-4168-a847-7bdc804cab7f,S100,DESPESA,RURAL,1
df5b474a-e526-402e-b59d-a09bc970f622,S100 - detergente neutro,DESPESA,RURAL,1
b828ab10-2435-4f24-bc04-e95c2f1371f0,S 100 sanitizante 5 L,DESPESA,RURAL,1
e07b6e0b-52b2-4eac-8de3-3c54dfc8f561,Salário de Daniel Cruz Assis,DESPESA,RURAL,1
fdfbb16b-f4b8-4c2a-84c4-84aeb059b12d,Sanitizante D 1000 Weizur,DESPESA,RURAL,1
1b110ad1-3dc3-4b45-bf8e-efd6e41fcabe,Sementes,DESPESA,RURAL,1
2e9ccf72-8415-4a86-b1e9-a093c3c0947f,Serviços de aplicação de herbicida - capim...,DESPESA,RURAL,1
51d224d4-a48a-4e1e-99aa-d90a0f80c067,Software de gestão rural,DESPESA,RURAL,1
9b94b3aa-aa4d-4717-9a5e-29e17cb28f39,Solução CMT 500 ML,DESPESA,RURAL,1
0fd609f9-b39c-4fba-a37d-c9015f362844,Ureia para ração,DESPESA,RURAL,1
b135a274-2796-4bf7-8807-e49840df7a50,2 Bicos Milk Bar para desmama das bezerras,INVESTIMENTO,RURAL,1
afaa1098-8292-4975-8231-f64eb4e482a8,Compra da produção Vacas em lactação Free Stall,INVESTIMENTO,RURAL,1
35ffe0a6-4dc4-4933-a2b0-8a031791a99b,Compra de Cama de Vacas,INVESTIMENTO,RURAL,1
e57499c9-861f-4793-b65b-79e85209d120,compra de fertilizante,INVESTIMENTO,RURAL,1
1d80b3d1-0c52-4fc7-a184-f17e7ba21475,"GRAMPO CERCA POL 7,5X13 BELGO 1KG",INVESTIMENTO,RURAL,1
2b4b4fbd-31e0-4cc0-b971-28aa4ae254aa,Leite em pó bezerras,INVESTIMENTO,RURAL,1
9db7047d-1cfe-4e3a-b104-36369d660bb6,Trator de Silvinho - corte e plantio de roça de...,INVESTIMENTO,RURAL,1
5509c3c8-4621-43cc-8eec-7effed8903f5,Tratorito,INVESTIMENTO,RURAL,1
3c2f592d-b47f-4da3-9067-0b2139c20802,TRATORITO DAS 7CV/CNXD.BOT.TOYAM,INVESTIMENTO,RURAL,1
1863b00f-009d-4dd4-a514-85f4fa86b3f1,03 Tubos de 50 mm para resfriamento de vacas,RECEITA,RURAL,1
fc881d7c-c925-4c1b-b2e9-ff548de0a24c,10 SC DE MILHO,RECEITA,RURAL,1
f9e4f62d-221a-46bb-85f2-4694d03e31ff,15 sc de milho zizinho,RECEITA,RURAL,1
69921897-0623-4857-9738-a09306d27076,Aplicação de roundup na roça de milho,RECEITA,RURAL,1
9f0e36a6-91f2-47e5-bef7-f0718966725e,Arrendamento Recebido,RECEITA,RURAL,1
16e67909-b85e-4eea-b0d4-9703c8da9fe4,Fos 90 - mineral Leite,RECEITA,RURAL,1
fa93dfbd-3a3b-4ea0-a46e-1157b7ba39dd,Insumos para separar a cama das vacas,RECEITA,RURAL,1
5ed3ffd7-0864-496f-a449-1ee67d937135,Leite em po bezerros CCPR,RECEITA,RURAL,1
0b4f1ed3-c0f7-45a1-8a6e-23980410fcee,Nucleo de leite CCPR,RECEITA,RURAL,1
2a829341-e86d-47b4-b5cf-a60d997d28ed,Nucleo Leite,RECEITA,RURAL,1
26b09133-6045-4ddc-8779-48a8363189c8,Nucleo Vaca de Leite,RECEITA,RURAL,1
02f4474c-b300-45ae-b30f-956115821b3d,Outras receitas,RECEITA,RURAL,1
8972a44c-d246-43b7-a344-09f5f511d198,PAGAMENTO DE 10 SC DE SOJA,RECEITA,RURAL,1
cd5861c8-fdfb-4078-89e7-181c16a7e1e4,Pagamento de 5 sacos de soja referentes a...,RECEITA,RURAL,1
